Validation,ID,Submission,interwiever_name,type_interview,donor,pdmtype,office,unique_number,not_loc,ben_det_oblast,ben_det_raion,ben_det_hromada,gps_coordinates,not_mpca,not_cash_for_rent,not_cash_for_repair,agree_interviewed,age,sex,status_person,how_many_family,family,did_receive_cash,did_receive_cash_no,cash_repair_type,cash_repair_type_other,register_receive,register_receive_other,assistance_delivered,assistance_delivered_other,satisfied_process,satisfied_process_no,satisfied_cash_amount,how_much_money,how_much_money_yes,time_registered_assistance,experience_problems,experience_problems_yes,assistance_delivered_other_001,know_people_needing,know_people_needing_yes,organization_provide_information,better_inform_distribution,better_inform_distribution_other,rate_quality_assistance,rate_quality_assistance_dis,sectors_cash_assistance,sectors_cash_assistance_other,sectors_cash_assistance_food,sectors_cash_assistance_clothing,sectors_cash_assistance_utilities_heating,sectors_cash_assistance_healthcare,sectors_cash_assistance_hygiene_items,receive_additional,rent_benefit,rent_benefit_no,access_adequate_housing,improve_living,improve_living_other,spent_cash_assistance,spent_cash_assistance_yes,spent_cash_assistance_rent,money_received,money_received_other,assistance_enough,assistance_enough_no,assistance_other_repairs,assistance_other_repairs_yes,assistance_other_repairs_rate,brochure_provided,basic_needs_priorities,living_conditions_interventions,living_conditions_interventions_no,who_assisted,who_assisted_other,issues_regarding_repaired,issues_regarding_repaired_yes,shelter_assistance_return,shelter_assistance_return_no,planning_staying_repaired,planning_staying_repaired_other,planning_staying_repaired_no,square_metres,dwelling_water_proof,access_running_water,access_hot_water,access_washing_facilities,access_sanitation_facilities,access_heating,property_draft_proofing,property_adequately_insulated,property_double_glazed_windows,formal_agreement_landlord,access_external_locked,access-private_space,current_living_space,household_currently_have_clothing,two_weeks_household,receive_shelter_assistance,receive_shelter_assistance_no,needs_community_currently,needs_community_currently_other,any_member_household,any_member_household_yes,provide_someone_commission,provide_someone_commission_yes,provide_someone_commission_yes_other,feel_safe_travelling,feel_safe_travelling_bad,feel_treated_respect,know_address_suggestions,know_address_suggestions_yes,know_address_suggestions_yes_ndnp,know_address_suggestions_yes_ndnp_other,know_address_suggestions_no,know_address_suggestions_no_other,submitted_feedback_complaint,feedback_reporting_channels,feedback_reporting_channels_other,comment,not_thank
,485332965,9/29/2023 10:34:31 AM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,994832290,,khersonska,khersonskyi,khersonska_2,,,,,yes,79,male,yescap,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,no,,trtw,no,,,nddk,,yes,dbad,,rtvs,,,,,,,,,,,,,,,,,,other,нічого не робили,yes,,no,,,no,,pino,"поки нічого не робили, будинок не придатний до житла",wanb,,no,,,,other,"мешкаємо в іншій оселі, відповідно рішення комісії житло не придатно до життя відноситься до 3 категорії",,,,,,,,,,,,,,,,,,rsca,,tphi | tpre | tput,,no,,no,,,rcyc,,rcyc,no,,,,nknk,,,cnbp,,,
,485332087,9/29/2023 10:31:32 AM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,505147537,,khersonska,khersonskyi,khersonska_2,,,,,yes,65,female,yescap,,,yes,,rphr,,rrbp,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Зберігаю для подальшого ремонту,yes,,no,,,no,,pina,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485308537,9/29/2023 9:00:58 AM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,507095233,,khersonska,khersonskyi,khersonska_2,,,,,yes,67,female,yescap,1,1,yes,,rphr,,rrbp,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Зберігаю на подальший ремонт,yes,,no,,,no,,pina,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485307658,9/29/2023 8:57:23 AM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,954812887,,khersonska,khersonskyi,khersonska_2,,,,,yes,57,female,yescap,2,2,yes,,rphr,,rrbp,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Поки не витрачали,yes,,no,,,no,,pina,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485203235,9/28/2023 9:35:06 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,506451361,,khersonska,khersonskyi,khersonska_2,,,,,yes,64,female,yescap,1,1,yes,,rphr,,rrip,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Збираю гроші,yes,,no,,,yes,,piyf,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485196921,9/28/2023 9:11:36 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,953130770,,khersonska,khersonskyi,khersonska_2,,,,,yes,45,female,yescap,3,3,yes,,rphr,,rrbp,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Будівельні матеріали,yes,,no,,,no,,piym,,wacd,,no,,no,Ще у домі дуже сиро,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485195572,9/28/2023 9:07:10 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,682662985,,khersonska,khersonskyi,khersonska_2,,,,,yes,58,female,yescap,2,2,yes,,rphr,,rrbp,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Ще нічого не витратили,yes,,no,,,no,,pina,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485104194,9/28/2023 5:33:39 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,505797874,,khersonska,khersonskyi,khersonska_2,,,,,yes,73,male,yescap,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbad,,rtvs,,,,,,,,,,,,,,,,,,other,будівельні матеріали,yes,,no,,,no,,piys,,wahd,,no,,no,"потрохи прибираємо, але мешкаєм тимчасово в іншій оселі",other,"потрохи прибираємо, але мешкаєм тимчасово в іншій оселі",,,,,,,,,,,,,,,,,,rsca,,tpfo | tpre | tptr,,no,,no,,,rcyc,,rcyc,no,,,,nknk,,,cnbp,,,
,485101378,9/28/2023 5:27:26 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,664203753,,khersonska,khersonskyi,khersonska_2,,,,,yes,84,male,yescap,0,,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,other,не має зауважень,rtvs,,,,,,,,,,,,,,,,,,other,оренду житла,yes,,yes,оренду житла,rnfs,no,,pino,нічого не робив,wanb,,no,,,,other,мешкає в іншої оселі,,,,,,,,,,,,,,,,,,rsca,,tpfo | tphs | tpre,,no,,no,,,rcyc,,rcyc,no,,,,nknk,,,cnbp,,,
,485099314,9/28/2023 5:23:27 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,505876924,,khersonska,khersonskyi,,,,,,yes,56,female,yesidp,4,4,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,yes,pbrp,,nddk,,yes,dbdd,,rtvs,,,,,,,,,,,,,,,,,,other,Ще не витрачали гроші,no,В будинку потрібно робити капітальний ремонт. На це нам не вистачить виділених коштів.,no,,,yes,,piys,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpdw | tpht | other,"Павербанки, дрова, теплий одяг.",no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485095349,9/28/2023 5:14:16 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,990309114,,khersonska,khersonskyi,khersonska_2,,,,,yes,82,male,yescap,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,no,,trtw,no,,,nddk,,yes,other,все влаштовує,rtvs,,,,,,,,,,,,,,,,,,other,нічого не робили із за бойових дій,yes,,no,,,dnb,,pino,нічого не робили із за бойових дій,wanb,,no,,,,other,мешкаю в іншій оселі,,,,,,,,,,,,,,,,,,rsca,,tpdk,,no,,no,,,rcyc,,rcyc,no,,,,nknk,,,cnbp,,Опитування проводилось з донькою бенефіціара,
,485095059,9/28/2023 5:13:26 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,991063856,,khersonska,khersonskyi,,,,,,yes,75,female,yescap,0,,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trow,no,,,nddk,,yes,dbcd,,rtvs,,,,,,,,,,,,,,,,,,other,Ремонт стін.,yes,,no,,,dnb,,piym,,wacd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsca,,tphs | tput | tpla,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,"Бенефіціар потребує юридичної консультації, щодо питань оплати комунальних послуг за той період, коли населений пункт був в окупації.",
,485089869,9/28/2023 5:02:14 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,504941872,,khersonska,khersonskyi,khersonska_2,,,,,yes,66,female,yescap,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,other,зауважень не має,rtvs,,,,,,,,,,,,,,,,,,other,поки нічого не робили із за бойових дій,yes,,no,,,dnb,,pino,поки нічого не робили із за бойових дій,wanb,,no,,,,other,"тимчасово мешкаємо в іншій оселі, із за бойових дій нічого не робили",,,,,,,,,,,,,,,,,,rsca,,tphi | tpre | tput,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfpf,,,,smna,cnbp,,,
,485089212,9/28/2023 5:01:06 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,956764468,,khersonska,khersonskyi,,,,,,yes,66,female,yesidp,0,,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbcd,,rtvs,,,,,,,,,,,,,,,,,,other,На очищення та осушення будинку.,yes,,no,,,dnb,,piym,,wacd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpcs | tphe | tphs,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485086683,9/28/2023 4:55:11 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,953615592,,khersonska,khersonskyi,,,,,,yes,38,female,yesidp,4,4,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trow,no,,,nddk,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Очищення території дому від мулу та залишків затопленого майна.,no,"Від будинку залишився лише фундамент. Потрібно будувати будинок, але  виділених коштів не достатньо.",no,,,dnb,,piym,,wacd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsca,,tphe | tpre | tput,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485086554,9/28/2023 4:54:52 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,502374253,,khersonska,khersonskyi,khersonska_2,,,,,yes,48,male,yescap,0,,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbtd,,rtvs,,,,,,,,,,,,,,,,,,other,нічого не робив із за бойових дій,yes,,no,,,no,,pino,нічого не робив із за бойових дій,wanb,,no,,,,other,мешкаю тимчасово в іншій оселі,,,,,,,,,,,,,,,,,,rsca,,tphi | tpre | tptr,,no,,no,,,rcyc,,rcyc,no,,,,nknk,,,cnbp,,,
,485082545,9/28/2023 4:47:07 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,505237446,,khersonska,khersonskyi,khersonska_2,,,,,yes,37,female,yescap,2,2,yes,,rphr,,other,"не памятає, як саме реєструвалась",asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbad,,rtvs,,,,,,,,,,,,,,,,,,other,"поки не витрачали, нічого не роблять із за бойових дій",yes,,no,,,no,,pino,нічого не роблять із за бойових дій,wanb,,no,,,,other,"не придатний зараз до життя, орендують іншу оселю",,,,,,,,,,,,,,,,,,rsca,,tpre | tput | tptr,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbe,,,
,485080448,9/28/2023 4:44:04 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,999663451,,khersonska,khersonskyi,,,,,,yes,42,male,yescap,2,2,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbdd,,rtvs,,,,,,,,,,,,,,,,,,smwi,,yes,,no,,,no,,piys,,wahd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpcs | tphe | tphs,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485078679,9/28/2023 4:40:43 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,997038312,,khersonska,khersonskyi,,,,,,yes,43,female,yesidp,4,4,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbdd,,rtvs,,,,,,,,,,,,,,,,,,other,Гроші не витрачали.,no,Наш будинок підлягає під знесення. На відбудову потрібно дуже багато коштів.,no,,,dnb,,pino,Ніякі роботи не проводились.,wanb,,yes,"3 співвласника на ділянку, на якій знаходиться будинок. Є питання, щодо того як розподілять виплати.",,,yes,,,,,,,,,,,,,,,,,,,rsca,,tphe | tput | tpla,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485076740,9/28/2023 4:38:55 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,954986210,,khersonska,khersonskyi,khersonska_2,,,,,yes,68,female,yescap,0,,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbtd,,rtvs,,,,,,,,,,,,,,,,,,other,"поки не витрачала, чекаю рішення комісії",yes,,no,,,no,,pina,,wanb,,no,,,,other,"будинок не придатний до життя, чекаю рішення комісії",,,,,,,,,,,,,,,,,,rsca,,tphi | tphs | tpre,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfpf,,,,smna,cnbp,,,
,485073796,9/28/2023 4:34:03 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,508701238,,khersonska,khersonskyi,khersonska_2,,,,,yes,63,female,yescap,2,2,yes,,rphr,,rrbp,,asba,,ndyl,,yes,yes,rets,trow,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Осушувач повітря,yes,,yes,Осушувач повітря,rnfs,no,,pina,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485073196,9/28/2023 4:32:43 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,993941559,,khersonska,khersonskyi,khersonska_2,,,,,yes,73,female,yescap,1,1,yes,,rphr,,rrbp,,asca,,ndyl,,yes,yes,rets,trow,no,,,nddk,,yes,dbad,,rtvs,,,,,,,,,,,,,,,,,,other,"оренда житла, будинок під знос",no,дуже багато витрат,yes,оренда житла,rnst,dnb,,pina,,other,нічого не робили будинок під знос,no,,,,other,"орендуємо іншу оселю, будинок під знос",,,,,,,,,,,,,,,,,,rsca,,tphs | tpre | tput,,no,,no,,,rcyc,,rcyc,no,,,,nknk,,,cnbp,,,
,485067603,9/28/2023 4:22:54 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,954515209,,khersonska,khersonskyi,,,,,,yes,37,male,yescap,0,,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbcd,,rtvs,,,,,,,,,,,,,,,,,,other,На будівельні матеріали.,no,"Тому що нам потрібно замінити всі вікна. Зробити ремонт даху, наданих коштів не достатньо для цього.",no,,,yes,,piys,,wahd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdw | tpcs | tphe,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485063842,9/28/2023 4:14:55 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,669363481,,khersonska,khersonskyi,khersonska_2,,,,,yes,66,female,yescap,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,no,,trtw,no,,,nddk,,yes,dbtd,,rtvs,,,,,,,,,,,,,,,,,,other,"не витрачали, поки розбираємо сміття, чекаємо комісію",yes,,no,,,no,,pino,"поки розбираємо сміття, чекаємо комісію",wanb,,no,,,,other,тимчасово мешкаємо в іншій оселі,,,,,,,,,,,,,,,,,,rsca,,tphs | tpre | tptr,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485063159,9/28/2023 4:13:30 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,661154014,,khersonska,khersonskyi,khersonska_2,,,,,yes,49,female,yescap,3,3,yes,,rphr,,rrip,,asba,,ndyl,,yes,yes,rets,trow,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Гроші ще на  карті,no,Будинок геть зруйновон,no,,,no,,pina,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485059074,9/28/2023 4:05:40 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,679999436,,khersonska,khersonskyi,khersonska_2,,,,,yes,63,male,yescap,3,3,yes,,rphr,,rrbp,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Будівельні матеріали,yes,,no,,,no,,piys,,wacd,,no,,no,Поки там не можливо жити,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485051342,9/28/2023 3:56:19 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,955727481,,khersonska,khersonskyi,khersonska_2,,,,,yes,62,female,yescap,2,2,yes,,rphr,,rrbp,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Бережемо гроші на капітальній ремонт,yes,,no,,,no,,pina,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485050327,9/28/2023 3:54:48 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,993086207,,khersonska,khersonskyi,khersonska_2,,,,,yes,48,female,yescap,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbtd,,rtvs,,,,,,,,,,,,,,,,,,other,"поки не витрачали, займалися розгібанням сміття",yes,,no,,,no,,piys,,wahd,,no,,no,"непридатний до життя, мешкаємо в іншій оселі",other,"непридатний до життя, мешкаємо в іншій оселі",,,,,,,,,,,,,,,,,,rsca,,tphi | tpre | tput,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfpf,,,,smna,cnbe,,,
,485048081,9/28/2023 3:49:52 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,957849148,,khersonska,khersonskyi,khersonska_2,,,,,yes,69,male,yescap,2,2,yes,,rphr,,rrip,,asca,,ndyl,,yes,no,,trtw,no,,,nddk,,yes,dbtd,,rtvs,,,,,,,,,,,,,,,,,,other,будинок під знос,no,витрат багато,yes,оренда житла,rnfs,no,,pino,будинок під знос,other,рішенням комісії будинок під знос,no,,,,other,"рішенням комісії будинок під знос, мешаємо в іншому місці",,,,,,,,,,,,,,,,,,rsca,,tphs | tpre | tput,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485039603,9/28/2023 3:33:50 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,509689562,,khersonska,khersonskyi,khersonska_2,,,,,yes,86,female,yescap,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbad,,rtvs,,,,,,,,,,,,,,,,,,other,будівельні матеріали,no,дуже багато витрат,no,,,no,,piys,,other,родичі займались,no,,,,yes,,,,,,,,,,,,,,,,,,,rsca,,tphs | tpre | tput,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnno,,,
,485038791,9/28/2023 3:31:53 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,669453789,,khersonska,khersonskyi,,,,,,yes,74,female,yesidp,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbdd,,rtvs,,,,,,,,,,,,,,,,,,other,На очищення будинку від залишків затопленого майна та сміття.,no,"Нам потрібно робити капітальний ремонт, а виділених коштів вистачило лише на сплату послуг по очищенню будинку.",no,,,no,,piys,,wacd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpcs | tphs | tpht,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485037238,9/28/2023 3:28:47 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,505526775,,khersonska,khersonskyi,khersonska_2,,,,,yes,53,male,yescap,3,3,yes,,rphr,,rrip,,asca,,ndyl,,yes,no,,trtw,no,,,nddk,,yes,dbad,,rtvs,,,,,,,,,,,,,,,,,,other,частково на будівельні матеріали,no,"багато витрат, ціни великі",no,,,no,,piys,,wahd,,no,,no,тимчасово мешкаємо в іншій оселі,other,тимчасово мешкаємо в іншій оселі,,,,,,,,,,,,,,,,,,rsca,,tphi | tpre | tptr,,no,,no,,,rcyc,,rcyc,no,,,,nknk,,,cnbp,,,
,485034385,9/28/2023 3:23:10 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,667442579,,khersonska,khersonskyi,,,,,,yes,56,male,yescap,2,2,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trow,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,На цемент.,no,Для повного ремонту нам потрібно більше коштів.,no,,,no,,piys,,wahd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpdk,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485027801,9/28/2023 3:11:30 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,663322713,,khersonska,khersonskyi,,,,,,yes,61,male,yescap,2,2,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,remo,trow,yes,pbrl,,nddk,,yes,dbdd,,rtvs,,,,,,,,,,,,,,,,,,other,На закупівлю цементу.,yes,,no,,,no,,piys,,wahd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpdw | tphe | tput,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485023331,9/28/2023 3:02:11 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,970090053,,khersonska,khersonskyi,,,,,,yes,44,male,yesidp,2,2,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Ще нічого не купували.,yes,,no,,,dnb,,piys,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpfo | tpdw | tphe,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485023279,9/28/2023 3:02:03 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,990103881,,khersonska,khersonskyi,khersonska_2,,,,,yes,63,female,yescap,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trow,no,,,nddk,,yes,dbad,,rtvs,,,,,,,,,,,,,,,,,,other,будівельні матеріали,no,"лише частково, бгато витрат",no,,,no,,piys,,wahd,,no,,no,"тимчасово мешкаємо в іншій оселі, в своєї прибираємо сміття тощо",other,"тимчасово мешкаємо в іншій оселі, в своєї прибираємо сміття тощо",,,,,,,,,,,,,,,,,,rsca,,tphi | tpre | tput,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfpf,,,,smna,cnbp,,,
,485017771,9/28/2023 2:53:03 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,503966687,,khersonska,khersonskyi,khersonska_2,,,,,yes,76,female,yescap,0,,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbad,,rtvs,,,,,,,,,,,,,,,,,,other,поки нічого не робили,no,треба багато коштів для покриття потреб,no,,,no,,pino,поки нічого не робили,wanb,,no,,,,other,тимчасово мешкає в іншій оселі,,,,,,,,,,,,,,,,,,rsca,,tphi | tphs | tpre,,no,,no,,,rcyc,,rcyc,no,,,,nknk,,,cnbp,,,
,485017299,9/28/2023 2:52:09 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,508890005,,khersonska,khersonskyi,,,,,,yes,49,female,yescap,3,3,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbdd,,rtvs,,,,,,,,,,,,,,,,,,other,Ще нічого не робили.,no,"Потрібно робити капітальний ремонт будинку, виділених коштів буде недостатньо для цього.",no,,,no,,piys,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdw | tphe | tput,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485011751,9/28/2023 2:41:37 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,959120843,,khersonska,khersonskyi,,,,,,yes,64,female,yesidp,3,3,yes,,rphr,,rrip,,asca,,ndyl,,yes,no,,trtw,no,,,nddk,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Закупила будівельні матеріали на ремонт в одній кімнаті.,no,"Ремонт потрібно робити у всьому будинку, а виділених коштів вистачило лише на одну кімнату. В мене маленька пенсія, тому не маю змоги ремонтувати будинок за власний рахунок.",no,,,dnb,,piys,,wahd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpdw | tput | tpdr,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485009660,9/28/2023 2:37:39 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,958529757,,khersonska,khersonskyi,khersonska_2,,,,,yes,27,female,yescap,5,5,yes,,rphr,,rrbp,,asba,,ndyl,,yes,yes,rets,trow,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Будівельні матеріали,yes,,no,,,no,,piym,,wacd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
